No,Name,Team,Floor,Pommel,Rings,Vault,P/Bars,H/Bar,PPP,Ind Total,POS
309,Jacob Edwards,Wales,9.15,8.85,8.7,9.8,9.2,9.4,8.8,63.9,1
325,Harry Hepworth,Yorkshire,8.25,8.9,8.6,9.75,9.6,9.6,8.7,63.4,2
329,Harrison Hoad,London,9.45,9.45,8.1,9.65,8.7,8.5,9.35,63.2,3
328,Christopher O'Shea,London,8.65,9.4,8.3,9.45,9.1,8.85,8.75,62.5,4
318,Brad Lewis,South West,8.9,8.9,7.6,9.55,9.1,8.55,9.25,61.85,5
320,Leo Kirby,South West,9,8.95,8.15,9.85,8.9,7.95,8.85,61.65,6
312,Benjamin Dowds,South,9.05,8.8,8.9,9.25,8.8,7.8,8.8,61.4,7
319,Conner Blake,South West,9.1,8.85,8.1,9.75,8.65,7.8,9.1,61.35,8
306,Lewis Lakin,North West,8.85,9.1,7.6,9.3,8.8,7.95,8.1,59.7,9
302,Angus Baxter,Scotland,7.85,8.7,8.2,9.2,7.5,8.4,9.4,59.25,10
323,Dovydas Kuciauskas,East Midlands,8.1,9.15,7.15,9.25,8.2,8.05,8.65,58.55,11
327,Avishai Wynne,London,8.55,8.7,7.4,9.35,7.1,8.7,8.2,58,12
321,Luke Baxter,South West,8.2,8.8,6.8,9.25,7.9,7.95,7.8,56.7,13
330,Henry Clark,South East,9,7,7.5,9.25,7.65,6.95,8.7,56.05,14
308,Mustapha James,North West,7.9,8.1,7.9,8.85,7.25,7.95,8.05,56,15
311,Archie Knowles,South,8.35,8.2,8,9.65,7.7,5.2,8.85,55.95,16
307,Lewis Unsworth,North West,9.5,7.1,7.1,9.6,8.2,5.95,8.3,55.75,17
314,Daniel Lisney,East,7.6,9.15,5.6,9.5,8.5,8.9,6.4,55.65,18
305,Ben Barclay,North West,8.1,7.75,7.45,9.05,8.1,7.3,7.55,55.3,19
303,Cameron Lynn,Scotland,7.8,8.25,6.85,9.4,8.1,8.95,5.7,55.05,20
310,Alex Arnold,South,7.4,8.15,7.9,9.15,8.4,7.15,6.5,54.65,21
304,Liam Watson,Scotland,7.6,8.55,7.45,9.5,8,6.75,6.7,54.55,22
313,Nicholas Rodrigues,South,8.3,9.3,8.35,9,5.3,6.9,6.9,54.05,23
324,James Walker,East Midlands,8.05,7.9,7.3,9.7,8.2,6.3,6.55,54,24
301,Alasdair Peacock,Scotland,7.8,8.1,7.35,9.35,3.7,8,6.7,51,25
316,Harvey Barlow,East,5.8,8.3,5.5,9.35,6.9,6.5,5.5,47.85,26
326,Owen Steele,Yorkshire,7.9,7.85,4.85,9.25,3,6.85,7.2,46.9,27
315,David Brouat,East,7.15,7.75,6.7,9.1,3,3.6,6.3,43.6,28
331,Ciaran Thompson,South East,5.65,6.9,6.45,9.2,4.1,4.4,5.35,42.05,29
322,Ben Smith,East Midlands,7.1,6.2,3.75,9.35,2.5,6.2,6.45,41.55,30
317,Joseph Pearce,East,5.7,6.05,4.2,9.4,4.8,3.6,4.4,38.15,31
