Bib,Name,Region,Floor,Pommel,Rings,Vault,P/Bars,H/Bar,PPP,Ind Total,Rank
73,Benjamin Chirodian,East,9.05,9.15,8.65,9.2,9.3,8.6,9.1,63.05,11
74,Gregor Belousov,East,9,9.05,9.4,9.2,8.7,9.3,9,63.65,8
75,Niall Hooton,East,9.6,8.85,9,9.45,9.5,7.8,9.05,63.25,10
76,Toby Stevens,East,9.6,9.4,9.1,9.5,9.1,9.4,9.1,65.2,2
77,Aled Davies-Williams,North West,9.05,9.15,8.95,9.6,9,9.3,9.4,64.45,4
78,Jacob Mairs-McKenzie,North West,8.7,9.15,9.35,9.5,9.3,9.5,9.1,64.6,3
79,James Peacock,North West,7.7,7.95,8.9,9.4,8.3,8.9,8.9,60.05,21
80,Nathan Todosijczuk,North West,8.6,8.5,8.5,9.05,8.5,8.4,9.25,60.8,20
81,Callum Archer,South,9.5,8.3,8.8,9.2,7.6,8.9,9.55,61.85,16
82,Felix Coomber,South,8.9,9,9,9.55,5.5,7.4,8.55,57.9,24
83,Finley Hughes,South,8.9,7.9,8.25,7.95,4.5,8,8.65,54.15,26
84,Joshua Windebank,South,9.7,8.75,9.4,9.35,9,8,9.4,63.6,9
85,Dylan Patter,Scotland,8,5.7,8.1,8.7,7.7,8.1,7.85,54.15,26
86,Grant Arneil,Scotland,8.35,8.2,7.85,8.85,5.6,8.8,7.9,55.55,25
87,Jamie Alexander,Scotland,7.25,6,7.1,9.2,7.8,5.9,7.4,50.65,30
88,Benjamin Weaver,West Midlands,8.5,5.2,7.2,9.1,1.6,3.4,7.45,42.45,33
89,Ethan Groom,West Midlands,7.8,6.55,7.3,9.3,6.1,8,7.55,52.6,29
90,Thomas Hobbins,West Midlands,8.85,8.55,8.85,9.6,8.1,8.2,9.1,61.25,17
91,William Rogers,West Midlands,9.05,6.75,6,9.3,3.5,5.5,8.9,49,32
92,Daniel Mock,South West,9.5,9.6,8.95,9.9,9.5,9,9.2,65.65,1
93,Archie Jack Hall,South West,8.8,8.55,8.7,9.75,8.6,8.35,6.5,59.25,22
94,Ishu Ingale,South West,8.75,9.5,9.3,9.65,7.5,8.6,8.95,62.25,14
95,Oliver Snook,South West,9.4,8.7,9,9.65,9.4,8.7,9.4,64.25,5
96,Kurtis Rutter,North,8.35,7.4,8.7,9.8,9.6,8.4,8.9,61.15,19
97,Blake Eldridge,London,9.3,9.1,8.65,9.45,9.6,8.6,9.45,64.15,6
98,Myron Francis,London,8.5,9.45,8.95,9.85,9.3,9,8.7,63.75,7
99,Rory Tann,London,8.45,9.25,9.15,9.6,8.8,8.6,8.85,62.7,12
100,Samurai Gayle,London,8.55,8.95,8.15,9.6,9.7,8.3,8.75,62,15
101,Charlie Hargreaves,Yorkshire,0,0,0,0,0,0,0,0,
102,Finley Wheelwright,Yorkshire,8.6,8.85,8.3,9.1,8.7,8.4,9.25,61.2,18
103,Christian Fuoco,South East,8.1,8.15,0,9.3,8.1,8.5,7.75,49.9,31
104,Jake Betts,South East,7.65,7.7,7.8,9.3,6.8,8.25,6.65,54.15,26
105,Laurence Butler,South East,9.4,9.6,8.9,9.3,8,8.8,8.65,62.65,13
106,Rudi Moriano,South East,8.4,8.55,8,9.85,7.7,8.6,8.1,59.2,23
