POS E,,q No, Name, Team,Floor,Pommel,Rings,Vault,APP,P Bars,H Bar,PPP,TOTAL
1,,589, Joshua Binns, North West,9.35,9.5,9.1,9.65,9.7,9.8,9.65,8.7,75.45
2,,562, Winston Powell, West Midlands,9.5,9.85,8.45,10,9.3,9.6,9.2,9.4,75.3
3,,574, Charlie Harvey Lloyd, East,9.4,9.2,9.1,9.7,9.55,9.4,9.25,9,74.6
4,,596, Nile Oyeneken, London,9.4,8.8,8.15,9.65,9.35,9.5,9.75,9.35,73.95
5,,578, T'Khai Philips, East,9.25,9.3,8.9,9.9,9.4,8.15,8.8,9,72.7
6,,553, Joshua Porter, South East,9.1,9.55,7.9,9.3,9.55,8.8,8.8,8.5,71.5
7,,588, Charlie Firth, North West,8.8,9.35,8.05,9.75,9.65,8.45,9.65,7.6,71.3
8,,552, Scott Gordon-Menzies, South East,8.85,9.4,7.45,9.15,9.15,9.25,8.9,8.75,70.9
9,,558, Dylan Kazmierowski-Tuck, West Midlands,9.1,9.5,7.25,9.6,9,8.95,8.85,8.55,70.8
10,,577, Luca Hammond, East,8.85,8.7,8,8.75,9.2,8.6,9.75,8.85,70.7
11,,570, Max Kendall, South,9.35,8.55,8.2,8.75,9.1,8.55,9.35,8.8,70.65
12,,560, Orlando Thompson, West Midlands,8.7,9.65,8.5,9.45,8.7,8.2,9.1,7.6,69.9
13,,590, Jake Bolton, North West,9.35,8.85,7.8,9.3,9.35,7.65,8.75,8.5,69.55
14,,575, Danny Crouch, East,8.9,9.7,7.85,9.65,8.45,8.6,8.8,7.1,69.05
15,,565, Ben Henderson, Scotland,8.85,9.1,7.25,9.4,8.25,8.9,8.25,9,69
16,,586, Patrick Watkinson, Yorkshire,8.4,7.6,7.7,9.15,9.25,8.9,8.65,9.2,68.85
17,,554, Jamie Lakin, South East,8.85,8.65,7.4,8.05,9,8.95,8.4,8.5,67.8
18,=,569, Toby Woods, South,8,9.2,6.8,8.4,8.95,9,8.95,8.3,67.6
18,=,573, Toby Splain, South,8.4,8.7,6.8,9.15,8.85,8.5,8.6,8.6,67.6
20,,585, Joel Booth, Yorkshire,9.1,8.75,7.55,9.6,9.25,7.5,8.35,7.45,67.55
21,=,581, Harrison Harris, Wales,8.95,9.5,6.7,9,9.1,7.4,8.85,7.8,67.3
21,=,555, Alex Yolshina-Cash, East Midlands,8.9,9.5,7.4,9.9,8.6,6.05,8.6,8.35,67.3
23,,593, Jordan Okwor, London,9.05,9.25,5.65,8.65,9.4,8.55,7.8,8.2,66.55
24,,595, Rayane Arab, London,8.35,9.35,6,6.5,9.1,9.4,8.6,9,66.3
25,,556, Bailey Yates, East Midlands,9.2,9.1,6.55,9.2,8.85,6.55,8.95,7.8,66.2
26,,557, Dylan Taylor-Walton, West Midlands,8.9,9.4,5.7,9.75,8.3,7.2,8.1,8.7,66.05
27,,584, Reuben Hart, South West,8.7,9.3,6.05,8.8,8.6,8.5,8,7.95,65.9
28,,566, Robby Bain, Scotland,8.3,9.4,7.7,8.45,8.4,7.3,8.1,7.85,65.5
29,,568, Fraser Sommerville, Scotland,8.65,8.85,6.95,9.1,8.5,8.3,7.8,7.3,65.45
30,,580, Jayden Lewis, Wales,9.1,8.95,7.55,9.35,9.1,6.6,5.7,8.6,64.95
31,,559, Luke Joshua Marsh, West Midlands,9.15,9,6.6,9.1,8.7,4.9,8.1,9.2,64.75
32,,564, Peter Ritch, Scotland,7.8,9,7.6,8.5,8.35,8.05,9,6.2,64.5
33,,587, Jake Passmore, Yorkshire,8.35,8.8,7.4,8.2,8.85,7.5,9.15,6,64.25
34,,561, Joss Phillips , West Midlands,8.1,8.8,6,8.55,8.3,8,8.1,8.2,64.05
35,,551, Oakley Banks, South East,9.2,8.55,5.85,9.4,8.95,6.65,8.35,6.75,63.7
36,=,591, Ben Horsted, London,8.95,8,5.55,8.5,9.3,5.8,8.8,8.7,63.6
36,=,594, Lewis Smee, London,8.3,8.8,6.2,8.1,9.05,7.4,8.25,7.5,63.6
38,,583, Sam Street, South West,9.05,8.45,6.4,9.3,8.6,7,8.7,5.4,62.9
39,,572, Kailen Ollier, South,8.3,8.8,6,8.3,8.55,6.5,7.75,8.3,62.5
40,,582, Joseph Dunster, Wales,8.85,8.5,7.2,8.45,8.25,6.8,8.9,5.3,62.25
41,,579, Jacob Williams, Wales,8.4,8.45,6.7,9.25,8.8,7.35,8.65,4,61.6
42,,563, Cameron Smith, Scotland,8.4,8.35,6.25,7.35,8.75,6.3,8.65,5,59.05
43,,592, Pacey Foster, London,8.55,8.1,5.5,8.05,8.1,7.75,6.6,6.2,58.85
44,,567, Ruairidh Henderson, Scotland,7.65,8,5.45,8.35,7.7,5.95,0,7,50.1
,,,,,,,,,,,,,
