POS E,,q No, Name, Team,Age,Floor,Pommel,Rings,Vault,APP,P Bars,H Bar,PPP,TOTAL
1,,708, Brandon King, West Midlands,L1,9.8,9.85,9.2,9.8,9.85,10,10,9.5,78
2,,756, Oliver Condon, London,L1,9.5,9.8,9,9.9,9.9,9.85,8.75,9.6,76.3
3,,713, Zion Aserie, West Midlands,L1,9.6,9.65,8.9,10,10,9.35,9.7,9,76.2
4,,712, Trumaine Brown, West Midlands,L1,9.6,9.75,8.7,9.9,9.85,8.95,9.8,9.2,75.75
5,,705, Joseph Feery, North West,L1,9.25,9.35,9.15,9.8,9.9,9.7,9.7,8.8,75.65
6,,722, Jay Franklin, South West,L1,9.55,9.9,7.85,9.45,9.65,8.9,9.4,9.7,74.4
7,,750, Kieran Davies, East,L1,9.45,9.6,7.45,9.75,9.9,9,9.5,8.9,73.55
8,,729, Harvey Northage, South East,L1,9.25,9.5,7.15,9.75,9.85,9.6,8.95,9.1,73.15
9,,732, Santo Fuoco, South East,L1,8.7,9.75,7.95,9.9,9.9,8.95,8.95,8.9,73
10,,733, Thomas O'Connor, South East,L1,8.5,9.5,8.2,9.7,9.4,9.2,8.85,8.2,71.55
11,,755, Mounir Bennadi, London,L1,9,9.3,8,9.75,9.65,9.6,8,8.2,71.5
12,,737, Michael Goddard, Yorkshire,L1,8.5,9.7,7.35,9.8,9.45,8.25,8.9,9.3,71.25
13,,723, Noah Ford, South West,L1,9.45,9.15,7.1,9.25,9.6,8.8,8.35,9.4,71.1
14,,747, Daniel Leighton-Scott, East,L1,8.35,9.15,8.2,10,9.1,8.95,8.6,8.4,70.75
15,,709, Max Jenkins, West Midlands,L1,8.3,9.55,7.4,10,9.4,9.15,9.15,7.5,70.45
16,,702, Ethan Gray, North West,L1,8.75,9.25,5.7,9.4,10,9.5,8.8,8.9,70.3
17,=,724, Alexander Niscoveanu, Wales,L1,9.1,4.4,9.05,9.7,9.4,9.8,9.45,9.2,70.1
17,=,749, Kai Williamson, East,L1,8.85,9.8,7.5,9.9,9.45,8.45,9.25,6.9,70.1
19,,701, Ellis Parry, North West,L1,8.6,8.6,6,9.4,9.9,9.5,9.15,8.9,70.05
20,,717, Lochlan Brown, Scotland,L1,8.75,9.1,6.8,9.65,9.4,9.4,9.25,7.6,69.95
21,,707, Ted Charnley*, North West,L1,8.65,8.85,6.5,9.5,9.9,9.6,8.35,8.4,69.75
22,,710, Oliver Hallett, West Midlands,L1,8.05,9.45,7.8,9.8,8.7,9.2,8.9,7.8,69.7
23,,741, Christian Corneal, South,L1,8.8,9.1,7,9.75,9.4,9.2,8.95,7.4,69.6
24,,728, Dylan O'Rourke, South East,L1,8.65,9.1,7.85,9.35,9.5,8.1,8.5,8.4,69.45
25,,721, Freddie Falconer, South West,L1,9.15,9.35,6.9,9.3,9.5,8.85,8.25,7.9,69.2
26,=,704, Jed Solomon, North West,L1,8.25,9.5,6.95,9.65,9.7,9,8.3,7.8,69.15
26,=,753, Finnley Dunning, London,L1,8.8,9.25,7.35,9.8,9.35,9.1,7.3,8.2,69.15
28,,711, Tommy Farrell, West Midlands,L1,9.5,9.6,7.2,9.4,9.6,8.85,8.65,6.2,69
29,,725, Cj Lewis, Wales,L1,8.25,8.7,6.7,9.75,9.3,9.2,8.75,8.3,68.95
30,,746, Cohen Stanley, East,L1,8.65,8.7,6.4,9.9,9.35,8.55,8.55,8.7,68.8
31,,703, Ethan Smith, North West,L1,8.4,8.75,7,9.55,9.95,9.05,8.45,7.5,68.65
32,,730, Jared Field, South East,L1,8.5,8.85,6.55,9.1,9.9,9.1,9.25,7.3,68.55
33,,743, Ivanalexander Donchev, South,L1,8.7,8.6,6.6,9.65,9.75,8.15,8.55,8.2,68.2
34,,740, Ashley Hassett, South,L1,8.35,9.1,7.45,9.3,9.8,8.4,8.75,6.5,67.65
35,,742, Oliver Houkes, South,L1,8.55,8.5,6.9,9.5,9.4,8.95,8.45,7.3,67.55
36,,757, Trigg Dudley, London,L1,8.3,9.1,6.65,9.25,9.2,8.6,8.7,7.5,67.3
37,,720, Calum Honey, South West,L1,8.6,9.2,6.45,9.65,9.15,8.25,8.7,6.9,66.9
38,,735, Jonas Rushworth, Yorkshire,L1,7.5,9,6.65,9.55,9.4,8.7,7.45,8.2,66.45
39,,727, Harrison Dobbs, Wales,L1,8.05,8.9,6.15,9.2,9.2,8.5,8.15,8.1,66.25
40,,738, Nathan Gray, Yorkshire,L1,8.05,8.5,5.9,9.4,8.65,8.7,8.7,8.2,66.1
41,,736, Kyle Clayton, Yorkshire,L1,7.4,8.5,8.25,9.75,8.9,8.55,9,5.5,65.85
42,=,744, Joe Back, South,L1,6.75,8.2,7.2,10,9.55,8.2,9.3,6.6,65.8
42,=,751, Oliver Moss, East,L1,8.25,8.55,5.6,9.3,8.85,8.25,9.2,7.8,65.8
44,,731, Max Redding, South East,L1,8.25,9.2,7.45,8.9,9.85,7.8,7.7,6.3,65.45
45,,745, Matthew Burnham, South,L1,8.2,7.8,6.5,9.45,9.6,8.8,7.7,7.3,65.35
46,,739, Colbi Curtis, East Midlands,L1,7.8,8.4,6.95,9.2,9.35,8.5,8.65,6.3,65.15
47,,718, Niall Mcewan, Scotland,L1,7.9,9.05,7.9,9.5,9.2,8.5,7.8,5.2,65.05
48,,706, Owen Craig, North West,L1,8.15,9.05,6.9,9.25,9.6,8.7,6.5,6.6,64.75
49,,719, Rob Russell, Scotland,L1,8.2,8.65,7.2,9.7,9.4,7.9,8.1,5.5,64.65
50,,726, Ellis Owens, Wales,L1,8.35,8.6,6.95,9.6,9.75,7.35,7.85,6,64.45
51,,748, Harry White, East,L1,8.1,8.65,5.6,9.65,9.5,7.85,8.15,6.8,64.3
52,,734, Jack Kershaw, Yorkshire,L1,6.95,9.25,6.3,9.3,9.15,8.5,8.6,6.2,64.25
53,,716, Kyle Clelland, Scotland,L1,7.65,8.95,6.2,9.05,9.1,7.3,8.05,7.6,63.9
54,,754, Luke Longhurst, London,L1,8,8.3,5.55,9.25,9,7.5,7.15,6,60.75
55,,752, Alexei Baranov, London,L1,8.2,8.15,5.6,9.7,9.25,6.7,7.8,5.2,60.6
56,,714, Cameron Barr, Scotland,L1,7.3,7.1,6.4,9.4,9.15,7.4,8.2,4.7,59.65
57,,715, Christopher Williamson, Scotland,L1,6.55,7.45,5.9,9.1,9.2,7.1,7.45,5.4,58.15
