Bib,Name,Region,Floor,Pommel,Rings,Vault,P/Bars,H/Bar,PPP,Ind Total,Rank
336,Jude IRONS,East Midlands,8.9,10,8.15,9.7,9.55,9.75,9.9,65.95,2
337,Phoenix FROST,East Midlands,8.65,8.85,7.65,9.85,8.6,9.15,7.55,60.3,31
338,Lewis WALKER-GROSS,East Midlands,7.8,8.1,7.15,9.55,8.8,8.2,7.85,57.45,41
339,Stuart MCLEAN,East Midlands,8.05,9.35,7.65,9.45,9.6,9.65,7.4,61.15,24
340,Henry STOKER,North of England (Ind),6.75,9.45,7.3,9.45,9.15,9.2,9.15,60.45,29
341,Nicholas JONES,London (Ind),7.7,9.95,6.75,9.15,9,9.15,8.55,60.25,32
342,Jacob HOWARD,Yorkshire,8.65,8.45,5.9,9.6,6.05,8.9,8.4,55.95,43
343,Jack STONES,Yorkshire,8.35,9.65,7.75,9.6,9.55,9.2,9.4,63.5,12
344,Oscar WARREN,Yorkshire,8.8,9.55,7.95,9.4,9.1,9.55,9.45,63.8,10
345,Seth INGLE,Yorkshire,8.85,9.9,8.45,9.7,9.45,9.3,10,65.65,3
346,Josh PETTIGREW,Scotland (Ind),8.1,9.7,6.45,9.9,8.5,9.4,6.9,58.95,38
347,Evan PAPWORTH,Scotland (Ind),8.25,9.9,4.65,9.15,8,7.45,5.1,52.5,49
348,Mitchell CARGILL,Scotland (Ind),9,8.9,7.4,9.7,7.6,9.45,8.6,60.65,26
349,Gethin CARLILE,South East,9.2,8.6,7.3,9.35,9,9.45,8.6,61.5,20
350,Benjamin PORTER,South East,9.35,9.7,8.1,9.8,8.65,9.75,7.85,63.2,14
351,Harrison LAMBLE,South East,8.55,8.1,8,9.75,7.7,9.15,7.85,59.1,37
352,Jake PALMER,South East,9.1,10,9,9.75,9.2,9.45,8.9,65.4,5
353,Eddison BURCH,South East,8.4,7.7,7.5,9.5,9.2,8.6,9.3,60.2,33
354,Taio STREVETT,South East,8.45,9.65,8.3,9.9,8.8,8.55,9.2,62.85,15
355,Riley SIMMONDS,South West,9.3,9.3,8.9,9.55,8.95,8,8.6,62.6,17
356,Daniel DRAYTON,South West,7.35,8,7.15,9.25,6.85,7.7,8.1,54.4,45
357,Jago WILSON,South West,6.8,7.8,7.4,9.15,7.5,8.15,7.15,53.95,47
358,Joshua PALMER,South West,7.85,9.05,7.15,9.8,7.75,6.8,6.15,54.55,44
359,Noah EDWARDS,West Midlands (Ind),9,9.95,8.505,9.65,7.7,9.35,9.6,63.755,11
360,Taio WELCH,West Midlands (Ind),8.8,9.85,6.75,10,7.9,9.1,6.5,58.9,39
361,Lucas BRAUND,North West,8.9,9.5,6.75,9.8,9.45,8.15,8.7,61.25,22
362,Sammy COTTER,North West,9.5,9.9,7.75,10,9.45,8.65,8.9,64.15,9
363,William HARVEY,North West,9.45,7.65,7.75,10,8.15,9,8.5,60.5,28
364,Jack FARRELL,North West,7.95,8.2,7.85,8.65,9.2,8.85,8.1,58.8,40
365,Mfoniso Eti BENSON,North West,9.1,7.75,7.95,10,8.55,9.05,8.5,60.9,25
366,Joshua ALLEN,North West,9.2,9.35,7.5,9.8,7.55,9.4,9.1,61.9,19
367,Jude MOORE,South,8.1,8.05,7.45,9.7,8.35,7.65,8,57.3,42
368,Loic ADEDZE,South,8.35,8.9,8.55,10,8.7,8.65,6.45,59.6,35
369,Freddie FIDGETT,South,8.15,9.1,7.75,9.75,8.1,8.9,8.6,60.35,30
370,Louis DAVID,South,7.9,9.6,8,10,8.25,8.75,7.65,60.15,34
371,Ralph HUNT,South,8.55,9.5,7.35,9.7,8.8,9.55,8,61.45,21
372,Jude ROUTLEDGE,South,6.65,8.6,7.45,9.6,7.5,8.2,6.25,54.25,46
373,Thomas DUGGAN,Wales,7.65,8.9,4.7,9.5,7.35,8.85,5.8,52.75,48
374,Jacob WATKINS,Wales,7.7,9.15,7.35,9.8,8.95,9.55,8.7,61.2,23
375,Ben SCOURSE,Wales,9,9.45,8.25,9.7,9.6,9.2,9.5,64.7,7
376,Ezekiel David ZASON,Wales,9.8,9.4,7.4,9.7,8.05,9.35,9.1,62.8,16
377,Harrison GRIFFITHS,Wales,9.05,9.5,8.1,9.3,9.55,9.1,8.7,63.3,13
378,Max KING,Wales,9.4,9.3,8.6,10,9.2,9.8,8.85,65.15,6
379,Oakley-Jai EATON,East,9.25,8.6,6.15,10,8.5,9.25,8.9,60.65,26
380,Rory SPURGEON,East,8.4,9.6,8.5,10,9.55,9.75,8.75,64.55,8
381,Joshua HAASE,East,8.9,9.75,8.75,9.75,9.6,9.8,9.1,65.65,3
382,Kieran BRAGG,East,9.15,9.4,7.2,10,8.4,9,8.9,62.05,18
383,Noah HAVIS,East,8.35,7.4,8.1,9.55,7.85,9.4,8.5,59.15,36
384,Uzair CHOWDHURY,East,9,10,9.55,10,9.8,10,9.9,68.25,1
