Bib,Name,Region,Floor,Pommel,Rings,Vault,APP,P/Bars,H/Bar,PPP,Ind Total,Rank
455,Gabriel Langton,West Midlands,9.35,9.6,8.95,10,9.7,9.55,9.6,8.85,75.6,1
452,Valo Marttila,South East,8.9,9.2,8.15,10,8.95,9.15,9.3,8.2,71.85,2
442,Louie Jones,Wales,9.4,8.4,9.1,9.5,9.4,7.8,8.1,9.1,70.8,3
458,Rocco Grech,Yorkshire,9.15,7.9,7.1,9.9,9.55,8.75,8.85,8.9,70.1,4
451,Ricco Regini-Moran,South East,9,9.25,8.65,9.65,9.1,7.35,8.9,7.45,69.35,5
445,Tamlin Fox,Wales,9.05,8.85,8.1,9.65,9.05,7.1,8.4,8.9,69.1,6
426,Kieran Rockett,London,8.9,6.3,7.15,9.75,8.65,9.2,9.5,8,67.45,7
443,Morgan Lucas,Wales,8.35,8.9,7.5,9.25,8.65,8,8.7,7.95,67.3,8
457,Joshua Frani,Yorkshire,7.9,8.55,6.55,10,9.35,7.8,8.1,8.3,66.55,9
427,Max Goodwin,London,8.1,8.35,6.85,9.9,9,6.4,8.9,8.4,65.9,10
428,Luca Robinson,North,8.05,7.9,7.15,9.5,8.55,7.9,9.2,7.65,65.9,10
423,Jamiah Richards-Leacock,North West,9,8.2,6.65,9.4,8.6,7.3,7.8,8.15,65.1,12
425,Xandon Williams,North West,8.4,7.65,6.8,8.75,8.4,7,9.4,8.25,64.65,13
439,Sol Scott,East,8.95,8.75,6,9.25,8.65,7.4,7.7,7.65,64.35,14
429,Blake Mcmanus,East Midlands,8.95,7.05,6.4,9.3,8.6,7.2,8.7,7.95,64.15,15
446,Zak Bisp,Wales,8.85,7.2,6.85,9.9,8.35,6.9,8.8,7.3,64.15,16
444,Owain Lewis,Wales,7.7,9,7,9.25,8.6,6.5,7.3,8.55,63.9,17
449,Oliver Porter,South East,9.4,0,8.65,9.75,9.3,8.3,9.6,8.9,63.9,17
450,Owen Courtney,South East,8.45,6.5,8.2,9.6,8.6,5.95,8.5,7.5,63.3,19
430,Evan Quickfall-Briggs,East Midlands,9.1,8.45,5.75,8.15,8.3,7.45,8.55,7.55,63.3,20
435,Adam Feakins,East,9.05,7.2,6.15,9,8.6,7.35,7.1,8.3,62.75,21
441,Clint Alleyne,Wales,8.65,7.8,8.1,9.65,8.4,6.45,5.9,7.7,62.65,22
447,Jamaal Kashim,South East,6.95,7.4,7.95,8.95,8.35,8.2,7.85,6.65,62.3,23
448,Jasper Carminger,South East,7.9,7.5,7.5,8.85,8.75,7.3,7,6.85,61.65,24
422,James Gilluley,North West,7.6,8.1,6.15,7.85,8.7,6.7,8.15,7.95,61.2,25
456,Hayden Taylor-Walton,West Midlands,8.3,6.6,6.95,9,7.4,7.35,8.55,6.8,60.95,26
440,Theo Potton,East,8.35,7.2,5.45,8.95,9.2,6.05,7.65,7.3,60.15,27
433,Moray Gault,Scotland,7.95,6.2,5.8,9.1,8,6.4,8.85,7.75,60.05,28
438,Tobias Achampong,East,7.1,8.25,5.5,9.3,7.2,6.7,7.8,5.6,57.45,29
434,Noah Penman,Scotland,7.95,6.2,5.95,8.85,7.6,6.6,7,6.5,56.65,30
431,Kayden Dixon,East Midlands,7.3,6.5,5.65,9.35,8.3,5.7,6.05,6.8,55.65,31
436,Josh Graham,East,0,8.25,6.9,8.8,7.8,8.35,9.05,6.3,55.45,32
424,Maison Hopkins,North West,6.85,7.1,6.35,0,7.9,6.6,8.75,8.55,52.1,33
437,Owen Pickard,East,7.75,1,5.85,9.3,7.6,5.65,7.6,6.35,51.1,34
454,Emilio Lagioia,South,7.15,1.8,6,8.4,9.05,4.6,5.3,8,50.3,35
453,Benjamin Neville,South,6.9,8.05,6.8,0,7.9,6.1,8,6,49.75,36
432,Reuben Cadman,East Midlands,0,0,0,0,0,0,0,0,0,
