Bib,Name,Region,Floor,Pommel,Rings,Vault,APP,P/Bars,H/Bar,PPP,Ind Total,Rank,
534,Victor Yeo,South West,9.900,9.700,8.700,9.550,9.850,9.750,9.300,7.950,74.700,1,
540,Tobie Watson,West Midlands,9.700,9.150,7.600,9.475,10.000,9.700,8.200,9.000,72.825,2,
539,Remell Robinson-Bailey,West Midlands,9.000,8.000,7.900,9.825,9.550,9.450,8.700,8.200,70.625,3,
537,Clayton Bell,West Midlands,9.600,6.450,7.800,9.800,9.600,8.950,8.800,8.850,69.850,4,
547,Isaac Frimston,South East,9.150,8.900,7.200,9.650,9.300,9.050,8.400,8.150,69.800,5,
550,Lyle Harry,South,8.900,9.000,7.200,9.725,8.800,8.900,8.300,8.750,69.575,6,
543,Harley Spann,North West,9.300,8.400,8.500,9.950,9.300,8.150,7.500,8.100,69.200,7,
531,Elliot Bullen,South West,7.200,9.300,8.100,9.500,9.600,5.900,8.400,9.900,67.900,8,
533,Leo Kirby,South West,8.600,7.300,8.000,9.325,8.750,7.900,8.000,8.550,66.425,9,
544,William Hood,North West,8.500,8.000,5.600,9.250,10.000,7.600,8.700,8.750,66.400,10,
551,Musa Siddiqi,South,7.900,8.250,7.250,9.450,9.100,9.200,7.400,7.750,66.300,11,
542,William May,London,7.850,8.100,7.300,9.150,9.400,7.750,8.100,8.500,66.150,12,
532,James Puddy,South West,8.300,6.550,7.500,9.350,8.600,8.550,8.000,8.850,65.700,13,
548,Harry Hepworth,Yorkshire,8.000,6.600,7.700,9.450,7.550,9.350,8.400,8.200,65.250,14,
541,Eyal Indig,London,8.000,8.000,6.800,9.250,8.600,7.000,8.700,7.750,64.100,15,
549,Finlay Morgan,South,8.600,8.050,6.750,9.425,9.150,7.300,8.000,6.100,63.375,16,
546,Rory Smith,Scotland,8.000,5.250,6.950,9.125,9.650,7.950,7.500,8.800,63.225,17,=
545,Johnpaul Neylon,East Midlands,8.900,4.800,6.950,9.575,9.500,7.150,8.100,8.250,63.225,17,=
536,Joseph Sawyer,East,8.350,6.500,6.800,9.275,8.300,4.500,7.600,7.900,59.225,19,
535,Daniel Lisney,East,6.900,7.800,6.250,9.525,8.100,8.200,7.300,5.000,59.075,20,
538,Daniel Smyllie,West Midlands,6.200,8.150,7.000,9.300,9.000,6.800,4.400,6.300,57.150,21,
