No,Name,Team,Floor,Pommel,Rings,Vault,APPP,P/Bars,H/Bar,PPP,Ind Total,POS,
559,Jack Stanley,Yorkshire,8.45,9.6,8.55,10,8.9,9.6,9,8.2,72.3,1,
545,Jamie Brennan,London,8.55,9.45,7.7,9.05,9.85,9.8,8.3,8.2,70.9,2,
541,Liam Beard,Wales,8.75,9,7,8.9,9.45,9.75,7,9.9,69.75,3,
550,Lazarus Benjamin,North West,9.5,9.75,6.1,9.5,9.25,8.65,8.05,7.65,68.45,4,
543,Rhys Griffiths,Wales,8.3,9.1,7,8.825,9.7,8.15,8.7,8.45,68.225,5,
556,Anton Adewale,South East,9.05,8.4,7.1,8.575,9,7.4,8.95,8.9,67.375,6,
542,Oscar Harper,Wales,8.7,6.6,7.2,8.5,9.65,9.45,7.9,9.25,67.25,7,
546,Myron Francis,London,8.35,9,6.55,8.4,8.8,9.65,8.15,8.25,67.15,8,
547,Nimeire Mavounda,London,8.85,7.85,6.1,8.8,9.65,9.3,8.1,8,66.65,9,=
564,Frederick Nelson,North,7.6,8.6,7.7,9.75,8.65,9.35,8.6,6.4,66.65,9,=
549,Finlay Dunne,North West,8.6,9.65,7.15,8.7,8,8.65,7.4,7.7,65.85,11,
560,Simon Toussaint,Yorkshire,8.65,7,8.4,3.55,9.1,9.75,9.15,9.25,64.85,12,
553,Kieran Burch,East,8.2,9,5.6,9.475,7.95,8.7,8.35,7.55,64.825,13,
565,George Ross,North,6.5,7,6.8,9.4,8.9,9.35,8.3,7.7,63.95,14,
544,Sammy Morgan,Wales,7.5,9.1,6.25,8.25,8.9,7.1,7.75,8.65,63.5,15,
554,Michael Ridgway,East,8.35,7.45,5.85,8.925,8.2,7.9,8.75,7.85,63.275,16,
551,Nathan Todosijczuk,North West,7.7,8.8,6.55,8.2,8.5,8.5,6.2,8,62.45,17,
555,Niall Hooton,East,6.75,7.9,6.3,8.825,7.6,8.15,8.4,8.3,62.225,18,
562,Ben Johnston,Scotland,7.35,5.8,5.9,8.1,8.75,8,7.85,7,58.75,19,
563,Liam Jury,East Midlands,6.6,3.2,6.5,8.925,9.1,5.3,7.5,8.9,56.025,20,
558,Laurence Butler,South East,6.4,3.5,5.35,8.7,9.05,7.85,7.65,7.35,55.85,21,=
557,Cody Trueman,South East,6.25,4.5,6.75,9,8.55,8.1,6.25,6.45,55.85,21,=
552,Anton Anderson,East,5.6,5.5,5.2,9.15,7.6,7.45,7.35,5.3,53.15,23,
561,Callum Archer,South,7.25,1.2,5.6,8.35,8.8,6.6,3.8,8.2,49.8,24,
548,Aled Davies-Williams,North West,0,0,6.35,8.7,8.4,6.8,0,0,30.25,25,
