No,Name,Team,Floor,Pommel,Rings,Vault,APPP,P/Bars,H/Bar,PPP,Ind Total,POS
403,Victor Yeo,South West,9.15,8.25,9.75,9.4,9.1,9.7,9.4,9.3,74.05,1
401,Elliot Bullen,South West,9.3,7.4,9.2,9.65,9.1,8.8,8.7,9.45,71.6,2
406,Tobie Watson,West Midlands,9.25,8.85,8.3,9.7,9.25,9.4,9.05,6.8,70.6,3
404,Clayton Bell,West Midlands,9.55,8.15,8.15,9.2,8.7,8.6,8.15,8.8,69.3,4
402,James Puddy,South West,8.15,7.75,8.05,9.55,8.4,9.3,8.65,9.05,68.9,5
408,Lyle Harry,South,7.95,7.55,6.2,9.55,8.5,7.7,8.2,8.05,63.7,6
409,Musa Siddiqi,South,8.05,7.85,7.3,9.4,8.1,6.4,8,8.15,63.25,7
407,Finlay Morgan,South,8.25,5.8,8.1,9.25,8.4,5.3,7,7.05,59.15,8
415,William May,London,7.6,5.65,7.1,8.1,8.3,7.4,6.45,7.9,58.5,9
410,William Hood,North West,6.75,6.5,8.25,7.4,8.15,3.6,7.6,8.95,57.2,10
405,Remell Robinson-Bailey,West Midlands,0,7.9,8.4,0,8.8,6.1,7,8,46.2,11
413,Harley Spann,Yorkshire,0,,0,0,8.5,0,0,0,8.5,12
